context_id,raw_context,disease,biomarkers,drugs,therapy_type,therapy_strategy,indication,approval_url
10,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, pr positive, one recommended therapy is abemaciclib + fulvestrant. therapy type: targeted therapy + hormone therapy. therapy strategy: cdk4/6 inhibition + estrogen receptor inhibition. indication: verzenio is a kinase inhibitor indicated in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'pr positive']","['abemaciclib', 'fulvestrant']","['targeted therapy', 'hormone therapy']","['cdk4/6 inhibition', 'estrogen receptor inhibition']","verzenio is a kinase inhibitor indicated in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
11,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, er positive, pr positive, one recommended therapy is abemaciclib + fulvestrant. therapy type: targeted therapy + hormone therapy. therapy strategy: cdk4/6 inhibition + estrogen receptor inhibition. indication: verzenio is a kinase inhibitor indicated in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'er positive', 'pr positive']","['abemaciclib', 'fulvestrant']","['targeted therapy', 'hormone therapy']","['cdk4/6 inhibition', 'estrogen receptor inhibition']","verzenio is a kinase inhibitor indicated in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
12,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, er positive, one recommended therapy is abemaciclib. therapy type: targeted therapy. therapy strategy: cdk4/6 inhibition. indication: verzenio is a kinase inhibitor indicated as monotherapy for the treatment of adult patients with hr-positive, her2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'er positive']",['abemaciclib'],['targeted therapy'],['cdk4/6 inhibition'],"verzenio is a kinase inhibitor indicated as monotherapy for the treatment of adult patients with hr-positive, her2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
13,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, pr positive, one recommended therapy is abemaciclib. therapy type: targeted therapy. therapy strategy: cdk4/6 inhibition. indication: verzenio is a kinase inhibitor indicated as monotherapy for the treatment of adult patients with hr-positive, her2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'pr positive']",['abemaciclib'],['targeted therapy'],['cdk4/6 inhibition'],"verzenio is a kinase inhibitor indicated as monotherapy for the treatment of adult patients with hr-positive, her2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
14,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, er positive, pr positive, one recommended therapy is abemaciclib. therapy type: targeted therapy. therapy strategy: cdk4/6 inhibition. indication: verzenio is a kinase inhibitor indicated as monotherapy for the treatment of adult patients with hr-positive, her2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'er positive', 'pr positive']",['abemaciclib'],['targeted therapy'],['cdk4/6 inhibition'],"verzenio is a kinase inhibitor indicated as monotherapy for the treatment of adult patients with hr-positive, her2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
15,"if a patient with metastatic castration-resistant prostate adenocarcinoma has brca1 oncogenic variants, one recommended therapy is abiraterone acetate + prednisone + niraparib. therapy type: hormone therapy + chemotherapy + targeted therapy. therapy strategy: antiandrogen + corticosteroid + parp inhibition. indication: akeega is a combination of niraparib, a poly (adp-ribose) polymerase (parp) inhibitor, and abiraterone acetate, a cyp17 inhibitor indicated with prednisone for the treatment of adult patients with deleterious or suspected deleterious brca-mutated (brcam) metastatic castration-resistant prostate cancer (mcrpc). select patients for therapy based on an fda-approved test for akeega. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/216793s001lbl.pdf",metastatic castration-resistant prostate adenocarcinoma,['brca1 oncogenic variants'],"['abiraterone acetate', 'prednisone', 'niraparib']","['hormone therapy', 'chemotherapy', 'targeted therapy']","['antiandrogen', 'corticosteroid', 'parp inhibition']","akeega is a combination of niraparib, a poly (adp-ribose) polymerase (parp) inhibitor, and abiraterone acetate, a cyp17 inhibitor indicated with prednisone for the treatment of adult patients with deleterious or suspected deleterious brca-mutated (brcam) metastatic castration-resistant prostate cancer (mcrpc). select patients for therapy based on an fda-approved test for akeega",https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/216793s001lbl.pdf
16,"if a patient with metastatic castration-resistant prostate adenocarcinoma has brca1 pathogenic variants, one recommended therapy is abiraterone acetate + prednisone + niraparib. therapy type: hormone therapy + chemotherapy + targeted therapy. therapy strategy: antiandrogen + corticosteroid + parp inhibition. indication: akeega is a combination of niraparib, a poly (adp-ribose) polymerase (parp) inhibitor, and abiraterone acetate, a cyp17 inhibitor indicated with prednisone for the treatment of adult patients with deleterious or suspected deleterious brca-mutated (brcam) metastatic castration-resistant prostate cancer (mcrpc). select patients for therapy based on an fda-approved test for akeega. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/216793s001lbl.pdf",metastatic castration-resistant prostate adenocarcinoma,['brca1 pathogenic variants'],"['abiraterone acetate', 'prednisone', 'niraparib']","['hormone therapy', 'chemotherapy', 'targeted therapy']","['antiandrogen', 'corticosteroid', 'parp inhibition']","akeega is a combination of niraparib, a poly (adp-ribose) polymerase (parp) inhibitor, and abiraterone acetate, a cyp17 inhibitor indicated with prednisone for the treatment of adult patients with deleterious or suspected deleterious brca-mutated (brcam) metastatic castration-resistant prostate cancer (mcrpc). select patients for therapy based on an fda-approved test for akeega",https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/216793s001lbl.pdf
17,"if a patient with metastatic castration-resistant prostate adenocarcinoma has brca2 oncogenic variants, one recommended therapy is abiraterone acetate + prednisone + niraparib. therapy type: hormone therapy + chemotherapy + targeted therapy. therapy strategy: antiandrogen + corticosteroid + parp inhibition. indication: akeega is a combination of niraparib, a poly (adp-ribose) polymerase (parp) inhibitor, and abiraterone acetate, a cyp17 inhibitor indicated with prednisone for the treatment of adult patients with deleterious or suspected deleterious brca-mutated (brcam) metastatic castration-resistant prostate cancer (mcrpc). select patients for therapy based on an fda-approved test for akeega. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/216793s001lbl.pdf",metastatic castration-resistant prostate adenocarcinoma,['brca2 oncogenic variants'],"['abiraterone acetate', 'prednisone', 'niraparib']","['hormone therapy', 'chemotherapy', 'targeted therapy']","['antiandrogen', 'corticosteroid', 'parp inhibition']","akeega is a combination of niraparib, a poly (adp-ribose) polymerase (parp) inhibitor, and abiraterone acetate, a cyp17 inhibitor indicated with prednisone for the treatment of adult patients with deleterious or suspected deleterious brca-mutated (brcam) metastatic castration-resistant prostate cancer (mcrpc). select patients for therapy based on an fda-approved test for akeega",https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/216793s001lbl.pdf
18,"if a patient with metastatic castration-resistant prostate adenocarcinoma has brca2 pathogenic variants, one recommended therapy is abiraterone acetate + prednisone + niraparib. therapy type: hormone therapy + chemotherapy + targeted therapy. therapy strategy: antiandrogen + corticosteroid + parp inhibition. indication: akeega is a combination of niraparib, a poly (adp-ribose) polymerase (parp) inhibitor, and abiraterone acetate, a cyp17 inhibitor indicated with prednisone for the treatment of adult patients with deleterious or suspected deleterious brca-mutated (brcam) metastatic castration-resistant prostate cancer (mcrpc). select patients for therapy based on an fda-approved test for akeega. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/216793s001lbl.pdf",metastatic castration-resistant prostate adenocarcinoma,['brca2 pathogenic variants'],"['abiraterone acetate', 'prednisone', 'niraparib']","['hormone therapy', 'chemotherapy', 'targeted therapy']","['antiandrogen', 'corticosteroid', 'parp inhibition']","akeega is a combination of niraparib, a poly (adp-ribose) polymerase (parp) inhibitor, and abiraterone acetate, a cyp17 inhibitor indicated with prednisone for the treatment of adult patients with deleterious or suspected deleterious brca-mutated (brcam) metastatic castration-resistant prostate cancer (mcrpc). select patients for therapy based on an fda-approved test for akeega",https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/216793s001lbl.pdf
19,"if a patient with locally advanced or metastatic non-small cell lung cancer has kras p.g12c, one recommended therapy is adagrasib. therapy type: targeted therapy. therapy strategy: ras inhibition. indication: krazati is an inhibitor of the ras gtpase family indicated for the treatment of adult patients with kras g12c-mutated locally advanced or metastatic non-small cell lung cancer (nsclc), as determined by an fda approved test, who have received at least one prior systemic therapy. this indication is approved under accelerated approval based on objective response rate (orr) and duration of response (dor). continued approval for this indication may be contingent upon verification and description of a clinical benefit in a confirmatory trial(s). approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216340Orig1s000Corrected_lbl.pdf",locally advanced or metastatic non-small cell lung cancer,['kras p.g12c'],['adagrasib'],['targeted therapy'],['ras inhibition'],"krazati is an inhibitor of the ras gtpase family indicated for the treatment of adult patients with kras g12c-mutated locally advanced or metastatic non-small cell lung cancer (nsclc), as determined by an fda approved test, who have received at least one prior systemic therapy. this indication is approved under accelerated approval based on objective response rate (orr) and duration of response (dor). continued approval for this indication may be contingent upon verification and description of a clinical benefit in a confirmatory trial(s)",https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216340Orig1s000Corrected_lbl.pdf
20,"if a patient with metastatic invasive breast carcinoma has her2-positive, one recommended therapy is trastuzumab emtansine. therapy type: targeted therapy. therapy strategy: her2 inhibition. indication: kadcyla is a her2-targeted antibody and microtubule inhibitor conjugate indicated, as a single agent, for the treatment of patients with her2-positive, metastatic breast cancer who previously received trastuzumab and a taxane, separately or in combination. patients should have either: received prior therapy for metastatic disease; or developed disease recurrence during or within six months of completing adjuvant therapy. select patients for therapy based on an fda-approved companion diagnostic for kadcyla. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125427s111lbl.pdf",metastatic invasive breast carcinoma,['her2-positive'],['trastuzumab emtansine'],['targeted therapy'],['her2 inhibition'],"kadcyla is a her2-targeted antibody and microtubule inhibitor conjugate indicated, as a single agent, for the treatment of patients with her2-positive, metastatic breast cancer who previously received trastuzumab and a taxane, separately or in combination. patients should have either: received prior therapy for metastatic disease; or developed disease recurrence during or within six months of completing adjuvant therapy. select patients for therapy based on an fda-approved companion diagnostic for kadcyla",https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125427s111lbl.pdf
21,"if a patient with early invasive breast carcinoma has her2-positive, one recommended therapy is trastuzumab emtansine. therapy type: targeted therapy. therapy strategy: her2 inhibition. indication: kadcyla is a her2-targeted antibody and microtubule inhibitor conjugate indicated, as a single agent, for the adjuvant treatment of patients with her2-positive early breast cancer who have residual invasive disease after neoadjuvant taxane and trastuzumab-based treatment. select patients for therapy based on an fda-approved companion diagnostic for kadcyla. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125427s111lbl.pdf",early invasive breast carcinoma,['her2-positive'],['trastuzumab emtansine'],['targeted therapy'],['her2 inhibition'],"kadcyla is a her2-targeted antibody and microtubule inhibitor conjugate indicated, as a single agent, for the adjuvant treatment of patients with her2-positive early breast cancer who have residual invasive disease after neoadjuvant taxane and trastuzumab-based treatment. select patients for therapy based on an fda-approved companion diagnostic for kadcyla",https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125427s111lbl.pdf
22,"if a patient with metastatic non-small cell lung cancer has egfr somatic variants, one recommended therapy is afatinib. therapy type: targeted therapy. therapy strategy: egfr inhibition. indication: gilotrif is a kinase inhibitor indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (nsclc) whose tumors have non-resistant epidermal growth factor receptor (egfr) mutations as detected by an fda-approved test (1.1) limitations of use: safety and efficacy of gilotrif were not established in patients whose tumors have resistant egfr mutations. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/201292s017lbl.pdf",metastatic non-small cell lung cancer,['egfr somatic variants'],['afatinib'],['targeted therapy'],['egfr inhibition'],gilotrif is a kinase inhibitor indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (nsclc) whose tumors have non-resistant epidermal growth factor receptor (egfr) mutations as detected by an fda-approved test (1.1) limitations of use: safety and efficacy of gilotrif were not established in patients whose tumors have resistant egfr mutations,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/201292s017lbl.pdf
23,"if a patient with non-small cell lung cancer has v::alk, one recommended therapy is alectinib. therapy type: targeted therapy. therapy strategy: alk inhibition. indication: alecensa is a kinase inhibitor indicated for the adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (alk)-positive non-small cell lung cancer (nsclc) (tumors >= 4 cm or node positive) as detected by an fda-approved test. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/208434s015lbl.pdf",non-small cell lung cancer,['v::alk'],['alectinib'],['targeted therapy'],['alk inhibition'],alecensa is a kinase inhibitor indicated for the adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (alk)-positive non-small cell lung cancer (nsclc) (tumors >= 4 cm or node positive) as detected by an fda-approved test,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/208434s015lbl.pdf
24,"if a patient with metastatic non-small cell lung cancer has v::alk, one recommended therapy is alectinib. therapy type: targeted therapy. therapy strategy: alk inhibition. indication: alecensa is a kinase inhibitor indicated for the treatment of adult patients with alk-positive metastatic nsclc as detected by an fda-approved test. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/208434s015lbl.pdf",metastatic non-small cell lung cancer,['v::alk'],['alectinib'],['targeted therapy'],['alk inhibition'],alecensa is a kinase inhibitor indicated for the treatment of adult patients with alk-positive metastatic nsclc as detected by an fda-approved test,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/208434s015lbl.pdf
25,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, pik3ca somatic variants, er positive, one recommended therapy is alpelisib + fulvestrant. therapy type: targeted therapy + hormone therapy. therapy strategy: pi3k/akt/mtor inhibition + estrogen receptor inhibition. indication: piqray is a kinase inhibitor indicated in combination with fulvestrant for the treatment of adults with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, pik3ca-mutated, advanced or metastatic breast cancer as detected by an fda-approved test following progression on or after an endocrine-based regimen. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/212526s009lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'pik3ca somatic variants', 'er positive']","['alpelisib', 'fulvestrant']","['targeted therapy', 'hormone therapy']","['pi3k/akt/mtor inhibition', 'estrogen receptor inhibition']","piqray is a kinase inhibitor indicated in combination with fulvestrant for the treatment of adults with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, pik3ca-mutated, advanced or metastatic breast cancer as detected by an fda-approved test following progression on or after an endocrine-based regimen",https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/212526s009lbl.pdf
26,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, pik3ca somatic variants, pr positive, one recommended therapy is alpelisib + fulvestrant. therapy type: targeted therapy + hormone therapy. therapy strategy: pi3k/akt/mtor inhibition + estrogen receptor inhibition. indication: piqray is a kinase inhibitor indicated in combination with fulvestrant for the treatment of adults with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, pik3ca-mutated, advanced or metastatic breast cancer as detected by an fda-approved test following progression on or after an endocrine-based regimen. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/212526s009lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'pik3ca somatic variants', 'pr positive']","['alpelisib', 'fulvestrant']","['targeted therapy', 'hormone therapy']","['pi3k/akt/mtor inhibition', 'estrogen receptor inhibition']","piqray is a kinase inhibitor indicated in combination with fulvestrant for the treatment of adults with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, pik3ca-mutated, advanced or metastatic breast cancer as detected by an fda-approved test following progression on or after an endocrine-based regimen",https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/212526s009lbl.pdf
